,Now,Title,View,Coment,Like,Subscriber
0,2020-04-24 11:13,"항아리 게임보다 더 빡치는 게임.. ""죽마 게임""",79554,2472,750,640000
1,2020-04-24 11:13,요즘 게임이 핵쟁이들 능욕하는 방법 [콜오브듀티: 워존],107268,1814,3600,470000
2,2020-04-24 11:13,FORTNITE *TRAVIS SCOTT* LIVE EVENT!! (Fortnite Battle Royale),284950,91,20000,9140000
3,2020-04-24 11:14,현실보다 더 힘든 무인도 생존게임 - 그린헬 코옵 (with. 천양 님),57380,457,2200,953000
4,2020-04-24 11:14,이게 게임이지 ㅋㅋ,349593,612,3500,505000
5,2020-04-24 11:14,병맛위기에 빠진 『여자를 구하는 게임!!』 이런 병맛게임은 처음봅니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ [세이브 더 걸],16006,294,617,99100
6,2020-04-24 11:14,리 신 챔피언 쇼케이스 | 게임플레이 - 레전드 오브 룬테라,21282,193,367,14100
7,2020-04-24 11:14,[ 예측 불가능한 신박한 퍼즐게임 I hate this game ] - 【 지누 】,42470,85,1300,259000
8,2020-04-24 11:15,[큐미쓰 당구 라이브] 마지막 게임은 만영님의 용기낸 첫 방송경기  !!! 만영님 vs 보라도리 !! 큐미쓰의 꿀잼각 1위 방송 !!!,6891,6,217,47600
9,2020-04-24 11:15,갓게임이라 불렸던 쿠키워즈 게임의 서비스종료 전 마지막모습,12633,97,219,30900
10,2020-04-24 11:15,이것만 알아도 게임이 훨씬 쉬워집니다. 3종족 전부 넘버링 하는 법!!,11201,48,231,319000
11,2020-04-24 11:15,"""기분 좋았던 악플 있어요?"" 순수악😈 유키카의 게임 재능 테스트!! | [친구가 필요해] 5화",120860,665,3100,421000
12,2020-04-24 11:15,롤 챌린저들 보다 잘하는게임 1타강사 김랭커 등장[마피아42],28242,73,340,354000
13,2020-04-24 11:16,Elyon (Pre-test) – Play the new game to be opened in Korea for 12 hours!,853,21,17,10500
14,2020-04-24 11:17,소닉윙즈 이야기 원코인 에어로파이터즈 원코인 Sonic Wings Aero Fighters게임ASMR GAMEASMR 게임리뷰 게임이야기 인생게임,8297,100,280,19300
15,2020-04-24 11:17,동숲에 숨겨진 미니게임 기능? 이 섬은 꼭 봐야합니다,5122,75,706,429000
16,2020-04-24 11:17,게임은 실제로 이렇게 개발됩니다 #1,5714,64,203,51200
17,2020-04-24 11:18,강원랜드🌏DRAGON PEARL SERVICE GAME🌎Killing Time Game,2007,0,14,2330
18,2020-04-24 11:18,모바일게임순위 TOP20 20년4월4주차 (Weekly Mobile Game Top 20 in Korea) [사키엘TV],785,1,8,46400
19,2020-04-24 11:18,ALL GAMEMODES ROBLOX PIGGY 로블록스 피기 모든 게임모드,85384,105,1400,47500
20,2020-04-24 11:19,엑스박스 게임패스 PC버전 정식출시! 현존 최고의 가성비 플랫폼 두둥등장 (천원에 약 200여개의 게임 플레이 가능. 최신게임 기어스택틱스까지!),8126,84,219,20200
