,Now,Title,View,Coment,Like,Subscriber
0,2020/04/22 12:39:12,"[VLOG] 일상 브이로그 | 일주일 브이로그 | 카메라 고장으로 인한 강제 분량조절 | 겟레디윗미 | 과제하기  | 순두부찌개  | 닭볶음탕 | 언박싱 📦| 목걸이,스트랩 쇼핑",4179,,592.0,90000.0
1,2020/04/22 12:39:34,Eng)cafe vlog|카페알바 브이로그|카페알바|브이로그|카페브이로그|vlog|알바 브이로그|카페 브이로그|asmr|cafe|koreancafe|잠잘오는|힐링,16546,225.0,873.0,50000.0
2,2020/04/22 12:39:52,,19197,100.0,744.0,30000.0
3,2020/04/22 12:40:10,"브이로그｜개나소나 동거하네ㅡㅡ 에서 개를 맡고 있는 중.. 소 모집 중.. (마라부대찌개, 바질키우기, 가시없는 갈치조림!, 장조림만들기)",31050,185.0,966.0,50000.0
4,2020/04/22 12:40:28,"India guest pose 인도 행사(팬미팅, 찬조공연 브이로그) 4일간의 행사 요약!",912,38.0,112.0,150000.0
5,2020/04/22 12:40:47,"[vlog#55] 24살 엄마의 형제 육아 브이로그 (짬뽕먹고,잔치국수 만들고, 아기 이발)",15547,139.0,799.0,40000.0
6,2020/04/22 12:41:05,ENG)VLOG#23 브이로그 | 주말폭식 | 먹고운동하고 | 직장인다이어트 | 운동재개💪 | 크리스피크림 쿠키플렉스,3081,14.0,88.0,1000.0
7,2020/04/22 12:41:25,바지락캐서 칼국수 끓여먹기에 도전!! 군산 캠핑여행 브이로그 1편,3927,214.0,553.0,50000.0
8,2020/04/22 12:41:45,"직장인 브이로그 | 치과 상담실장 진급 후 일주일, 치과위생사 브이로그, 치위생사 VLOG 일상",6762,119.0,229.0,7000.0
9,2020/04/22 12:42:04,[독박 육아 브이로그 20] 생일 / 백종원 감자짜글이 찌개 / 가족 / 키즈카페 / 틈새 요리 / 남아 헤어스타일 / 가평 맛집 / 현실 육아 / 로이애유 / royuyu,4256,58.0,190.0,4000.0
10,2020/04/22 12:42:22,"먹방계의 아메바...집밥 먹방 일상 브이로그(부대찌개, 김치만둣국, 비빔밥, 고로케, 매운어묵, 베이글 소세지 치즈샌드위치,삼겹살,양념돼지갈비, 고기뷔페 MUCKBANG VLOG",14644,117.0,,10000.0
11,2020/04/22 12:42:42,"주부일상브이로그, 일상브이로그주부, 일상브이로그, 집순이브이로그, 주부일상vlog, 집순이브이로그일상, 뚝배기추천, 뚝배기, 구뜨, 구뜨 뚝배기, 키친크로스, 키친크로스 추천",49,2.0,3.0,38.0
12,2020/04/22 12:43:02,[중3 브이로그]아무 생각없는 집순이의 하루🏡,726,31.0,41.0,1000.0
13,2020/04/22 12:43:23,[KOR/ENG] 민카롱의 하루🤍쇼핑몰 촬영 브이로그📸 ㅣMINCARONG,3076,20.0,131.0,30000.0
14,2020/04/22 12:43:45,"대만 유학생 브이로그🇹🇼나태한,, 게으른,,, 브이로그,,,",242,9.0,19.0,2000.0
15,2020/04/22 12:44:03,골프치고 피아노치는 꽁치 브이로그! 이지 친구 등장??,1700,27.0,165.0,140000.0
16,2020/04/22 12:44:23,"[여우비두두] 재택근무브이로그#1, 집사의 재택근무 현실, 사회적거리두기, 봄날, 책상청소, 강아지두마리, 김치볶음밥, 마라탕, 베란다카페, 택배언박싱,",929,17.0,46.0,3000.0
17,2020/04/22 12:44:44,"🇨🇦 대학생 브이로그 | 하루 종일 기말고사 공부 하기, 맛있는 집밥 해 먹기, 집에서 혼자 잘 노는 캐나다 약대생 일상",151,4.0,,
18,2020/04/22 12:45:03,"이 시국, 회사 집만 왔다갔다하는 도쿄 브이로그 ~ 화요일편",449,29.0,34.0,3000.0
19,2020/04/22 12:45:22,[VLOG]대학생브이로그|무용과일하는하루|피팅모델|네일관리받기|다이어트,415,10.0,19.0,3000.0
20,2020/04/22 12:45:40,"[제주 브이로그 VLOG] 힐링여행 제주도 2박3일 여행 1일차🍊 겨울 겸 봄 제주도 핫플레이스/맛집/카페 | 부자식당,양떼목장,협재해수욕장,신창풍차해안도로,카페쉼표,동문재래시장",112,8.0,8.0,2000.0
21,2020/04/22 12:46:00,[채쌤의일상/vlog8] 초등교사 브이로그ㅣ추억 조각모음ㅣwith 웃음반 1기 2기 3기ㅣKorea homeroom teacher life,4374,49.0,245.0,30000.0
22,2020/04/22 12:46:23,고1 온라인 개학 브이로그 vlog 🏫 To.미래 손녀 “ 라떼는 말이야 ... 온라인 개학도 했었다 이말이야 ... “ / 가은Gaeun,11621,232.0,871.0,150000.0
23,2020/04/22 12:46:42,"🇺🇸뉴욕유학생 귀국 브이로그 | 급하게 집계약 파기하고 한국 돌아갑니다…/ 7일간의 귀국준비 | 코로나 공항패션, 짐보관 이사하기, 유학생 VLOG",1163,48.0,51.0,2000.0
24,2020/04/22 12:46:59,"[고도비만 다이어트 브이로그] 진지세끼🍽 다이어트 식단기록 6주차 / 6주차 몸무게확인, 야매연어초밥, 헬스앤뷰티 배송언박싱 및 원데이 헬뷰제품데이 #18",208,8.0,4.0,66.0
25,2020/04/22 12:47:21,호주일상⎜심심해서 도저히 못 참겠다... [브이로그],1039,45.0,71.0,10000.0
26,2020/04/22 12:47:39,vlog; 자취 브이로그 # 휴가 일상# 15년만에 글라스테코 해보기 # 이것 저것 하울 🤹🏻‍♀️ (노드그린 시계/실큰제모기/올리브영/자취용품) # 말많음주의,383,6.0,18.0,2000.0
27,2020/04/22 12:48:01,[COUPLE VLOG] #8 알콩달콩 커플의 1주년 브이로그💗🤍 | 1주년 데이트 | 커플문답 | 1주년 기념일 | 커플vlog 💓,500,15.0,6.0,328.0
28,2020/04/22 12:48:20,브이로그[VLOG] : 감성사냥을 나간다!! 🔫 (망원동/혼밥/커피가게 동경/출근룩/어글리 베이커리/영어공부📝/압구정/대막/타르틴),3247,119.0,198.0,7000.0
29,2020/04/22 12:48:43,개강~?! [아주짧은 브이로그],232,22.0,25.0,271.0
30,2020/04/22 12:49:03,Eng)주부의 집밥 일상 브이로그-평범한 일상의 소중함,10507,120.0,419.0,20000.0
31,2020/04/22 12:49:22,[eng] 날이 좋아서.. 바쁜 카페브이로그/ 더벤티알바/ 자몽음료/ 딸기음료/ 음료제조영상/ 얼음ASMR/ cafevlog,4965,45.0,199.0,
32,2020/04/22 12:49:41,"[일상 브이로그_vlog] 개강 안해서 본가 내려온 대학생 브이로그 | 삼시세끼 잘 챙겨 먹는 일상 브이로그 | 프로 집순이의 방학 일상 브이로그 | 일주일식단, 요리 먹바ㅇ",166,3.0,,
33,2020/04/22 12:49:59,/VLOG/ 차박 재도전 준비 브이로그 | 분식데이 | 캠핑 창고 정리 | 장박 뒷정리 | 사이폰 커피,1487,20.0,,
34,2020/04/22 12:50:24,"[ENG SUB][빅톤 덕질 브이로그]앨리스 다이어리 EP.24 : 승식아, 생일 축하해♡/ALICE DIARY with VICTON",828,83.0,135.0,6000.0
35,2020/04/22 12:50:44,"🇰🇷한영국제커플 동거 브이로그🇬🇧 올해 첫 가든 바베큐, 계속되는 락다운, 잔잔한 주말",8454,157.0,436.0,10000.0
36,2020/04/22 12:51:03,"[일상 VLOG] 직장인 브이로그 / 사회적거리두기 재택근무 그만 !!! 😷 (ft. 데일리룩, 쥬얼리 언박싱, 샤브샤브, 간장계란밥, 유부초밥, 김밥 만들기, 사전투표)",583,22.0,37.0,1000.0
37,2020/04/22 12:51:22,"먹방 브이로그(입맛 없어 간신히 한숟갈 떠보는 쳐묵러, 오리주물럭, 쌈두부, 육회비빔밥, 쭈꾸미볶음, 안동찜닭)",2948,24.0,105.0,5000.0
38,2020/04/22 12:51:41,[먹방vlog]음주 브이로그 | 다이어트 전 마지막 치팅 | 엽떡 계란죽 신드롬 75% 치킨팝 투게더 설중매 소주,2802,70.0,54.0,972.0
39,2020/04/22 12:51:59,"ENG) Cafe Vlog #3 카페브이로그,카페알바브이로그,카페봄봄,",192,5.0,31.0,346.0
40,2020/04/22 12:52:19,"[겁바일상] 집순이 브이로그_월남쌈 먹고, 무서운 이야기 하고, 청바지 줄이고, 볶음면 만드는 행복한 하루",51,4.0,,4000.0
41,2020/04/22 12:52:36,[ENG] Cafe vlog /카페브이로그 / 카페알바브이로그 / 개인카페 / 버블티 /밀크티 / 음료제조,885,9.0,65.0,4000.0
42,2020/04/22 12:53:03,지방 헤어디자이너의 두번 다시 보고싶지도않을 브이로그,2134,70.0,86.0,10000.0
43,2020/04/22 12:53:24,Vlog | 임고생 브이로그. 해피 카공☕️. 아날로그키퍼 언박싱. 주말엔 백수라잎 즐기기. 공부 타임랩스. 유아임용,830,24.0,35.0,771.0
44,2020/04/22 12:53:48,제페토 쇼핑물 VLOG 🛍 / ZEPETO / 브이로그 / 월드 / 쇼핑,232,18.0,,1000.0
45,2020/04/22 12:54:07,[VLOG] 구현호의 위험천만 더트바이크 브이로그,1518,11.0,52.0,20000.0
46,2020/04/22 12:54:28,"[VLOG]대학생의 일상 브이로그💜/ 친구랑 이케아 구경하기/학교 안가서 너무 좋아~.....는 잠시.. /IKEA광명점, KTX기차타기🚈,다이소 쇼핑,혼다라멘🍜",127,5.0,11.0,1000.0
47,2020/04/22 12:54:47,나의 브이로그,7967,242.0,865.0,130000.0
48,2020/04/22 12:55:07,임고생 브이로그 | study vlog | 잔잔한 독서실 브이로그 | 반짝이는 별 가져오기⭐️ | 아이패드로 공부하기,393,15.0,23.0,1000.0
49,2020/04/22 12:55:28,일본 감성 캠핑 브이로그 🏕 후지산 야마나시 | 설중캠핑 | 캠핑요리 | 번외편 첫캠핑은 룬룬쓰 추억소환,3700,52.0,211.0,4000.0
50,2020/04/22 12:55:47,korea cafevlog) 따스한 햇빛과 함께 카페알바 브이로그/남자카페알바생/따스한 봄 브이로그/홈카페,410,6.0,41.0,3000.0
51,2020/04/22 12:56:09,시골브이로그/정원가꾸기/꽃밭만들기/라넌큘러스/노지월동 야생화/작약/마가렛/황금낮달맞이꽃/귀농귀촌,198,30.0,21.0,1000.0
52,2020/04/22 12:56:48,"플로리스트일상(다이어트 브이로그, 다이어트식단/ 다이어트일기 / 직장인다이어트 )",252,6.0,9.0,10000.0
53,2020/04/22 12:57:10,브이로그 시청하셨나요?,1175,1.0,58.0,20000.0
54,2020/04/22 12:57:33,디저트카페 브이로그 / 마카롱 만들기 / 작업날 일상 / 향수만들기 / 취미생활 /마카롱가게 / cafe vlog / korean macaron shop vlog,242,4.0,17.0,492.0
55,2020/04/22 12:57:55,40대 다이어트 브이로그 | 룰루레몬 쇼핑 *홈요가 시작 *곤약마라탕 *새 운동화 (ft.아디다스) *튼튼이 첫 뒤집기,1839,13.0,76.0,10000.0
56,2020/04/22 12:58:15,종훈이의 일상브이로그* 여러분들드디어 머리를했습니다,1547,18.0,47.0,10000.0
57,2020/04/22 12:58:37,"[Eng]🇨🇦토론토 브이로그 #71 [4월의 눈오는 토론토의 다운타운, 프린트샵, Canada Post, 방방콘 BangBangCon 덕분에 행복했던 아미의 캐나다 일상]",398,7.0,,5000.0
58,2020/04/22 12:59:02,🇫🇷프랑스 유학생🇫🇷EP32) 지연쓰 프랑스 파리 일상브이로그 '파리에서 김장을 하다?!' (자취생들 필독),487,13.0,76.0,3000.0
59,2020/04/22 12:59:22,"브이로그, 일상의 동기부여/본바디TV 1주년, 개인적인 이야기",123,3.0,8.0,6000.0
60,2020/04/22 12:59:42,[간호사vlog] 데이 나이트만 죽어라 하는 일상 브이로그 | 눈썹 왁싱 | 하루한끼 | 신규 간호사 | 젝스키스 언박싱 | 헌혈 | 진주맛집  | 스타벅스 | 가족브이로그 |,61,2.0,5.0,72.0
61,2020/04/22 13:00:01,,768,34.0,48.0,370.0
62,2020/04/22 13:00:22,[브이로그Vlog] 🌼봄나들이 | 맥북을 사러가자 | 신세계백화점 쇼핑하러가기 | 일렉트로마트 | 맥북프로 16인치 | 벚꽃구경🌸,185,8.0,18.0,6000.0
63,2020/04/22 13:00:42,[ENG] cafe vlog korea / 카페알바 브이로그 #14 / 음료제조 / 바닐라라떼 / korean cafe / 개인카페 알바 브이로그,553,8.0,29.0,1000.0
64,2020/04/22 13:01:02,Our first V.log (special announcement) 첫 브이로그(중대발표 합니다),269,40.0,49.0,40000.0
65,2020/04/22 13:01:55,[임고생 브이로그📝] - 고독한 독서실 1인실🥺 | 돌체라떼 만들기☕️ | bhc 커리퀸🍗 | 고양이 박스대첩📦 (Study Vlog),401,20.0,11.0,271.0
66,2020/04/22 13:02:15,"[ChristineTV](ENG)태국여행 브이로그 09: 파타야 관광의 중심, 센트럴 파타야 둘러보기 Thailand trip VLOG 09: Central Pattaya",109,2.0,10.0,798.0
67,2020/04/22 13:02:36,[캠핑브이로그] - 완주 솔뫼캠핑장 / 잔디밭에서 피크닉캠핑 꼭 하세요!!! / 봄캠핑 / camping,148,5.0,6.0,700.0
68,2020/04/22 13:02:58,[V-log]정몰 택배기사 정글에 가다!🌴🌵 (광고 촬영 브이로그),22250,138.0,723.0,390000.0
69,2020/04/22 13:03:17,"펫테일게코, 레오파드게코 피딩영상 브이로그 (Cestbon vlog)",47,7.0,8.0,93.0
70,2020/04/22 13:03:37,운동전 부스터제조 몬스터에너지 하체운동과 식사 브이로그,456,7.0,25.0,10000.0
71,2020/04/22 13:04:00,"Eng) 커피마마 카페 브이로그💛 (아이스 카푸치노, 버블 망고스무디, 아이스 오곡라떼, 블루베리 요거트 스무디,  카페 브이로그, cafe vlog)",400,9.0,27.0,406.0
72,2020/04/22 13:04:23,[금손남녀의 브이로그 VLOG] 베트남 푸꾸옥 여행 4일차 / Vietnam Phu Quoc,28,0.0,5.0,
73,2020/04/22 13:04:42,"IFBB BIKINI 권은진의 혼비백산 브이로그(타로카드, 차이나타운)(feat. 박솔나리, 이시은)",701,6.0,44.0,20000.0
74,2020/04/22 13:05:02,"vlog 조각조각 자투리 브이로그│흑발 염색한 머리 탈색 없이 밝게했어요! 외출 준비하며 수다떨고,화상입고,책읽는 일상│다이어터 일상 (간단한 식단)",738,28.0,,20000.0
75,2020/04/22 13:05:23,간헐적 단식 하는 30대 일상 브이로그 #2,99,4.0,11.0,1000.0
76,2020/04/22 13:05:44,"Vlog) 킹덤 생사초 키우기, 20대 주부 일상 브이로그 : 캄파눌라, 베이비 돌핀 피쉬 키우기, 진진짜라, 노브랜드 칠리새우, 닭한마리",29,3.0,4.0,1000.0
77,2020/04/22 13:06:04,30대직장인 브이로그/조심히 올려보는 기록들/프라다 테수토 체인 스트랩/첫 명품 가방 언박싱/데이지/daysivlog/daysi,138,8.0,6.0,744.0
78,2020/04/22 13:06:26,"(Eng,Jap) 의대생 아이패드, 에어팟 프로 언박싱 브이로그! (Feat. 할머니 선물 사드리기)",3401,22.0,87.0,9000.0
