,Now,Title,View,Coment,Like,Subscriber
0,2020/05/17 00:54:14,VLOG│고등학교 친구들과 룸파티 브이로그🎈,66,11,12.0,184.0
1,2020/05/17 00:54:34,JIGYE VLOG | 먹고 공부하고 자라 새내기 대학생 일상브이로그(야식/싸강/과제/아웃백/막창/아이패드),31,3,8.0,26.0
2,2020/05/17 00:54:54,"vlog. 뉴욕 브이로그, 치킨피자햄버거 시켜먹고 확찌는 브이로그, 식물키우기, 메뉴고갈 정체불명음식들",107,19,20.0,111.0
3,2020/05/17 00:55:15,[브이로그#37] VLOG / 24살부부일상 / 임산부브이로그 / 일상브이로그 / 임신38주 / 유도분만 / 젊은부부 / 스타필드나들이 / 밀푀유나베만들기 / 단이만난날🥰,84,7,4.0,
4,2020/05/17 00:55:37,VLOG | 중3 의 공부 브이로그 | 공부 자극 | 스터디 | 타임랩스 | 05년생 |,298,9,8.0,768.0
5,2020/05/17 00:55:58,2019 제니스병원 송년회 브이로그 - 회계&인사&원무팀,38,0,1.0,3000.0
6,2020/05/17 00:56:20,"[마마무 솔라 문별] 이벤트 달인 문수종 씨 feat.울어! (中字,ENG SUB)",17492,79,1000.0,10000.0
7,2020/05/17 00:56:44,4개월아기 첫 카시트 탑승 / 신혼부부의 육아브이로그 / 육아 vlog,42,3,9.0,
8,2020/05/17 00:57:05,[Eng sub] Korea cafe vlog #12 / 카페브이로그 / カフェvlog /Relaxing Sleep Video /카페알바 /1인 개인카페 사장/ 잠 안 올때,146,10,11.0,179.0
9,2020/05/17 00:57:25,📚공시생 브이로그📚  보는 사람도 불안불안😖 5일간의 기록들 / 스터디 브이로그 / 공부 브이로그 / study vlog,92,1,6.0,70.0
10,2020/05/17 00:57:46,[브이로그] 1억짜리 한국형 포뮬러 KF 1600 탄생! - 지젤킴 포뮬러카 도전 Formula car,223,5,,
11,2020/05/17 00:58:10,"VLOG / 부산 브이로그🌊나의 취미생활, 그림그리고 산책하는 일상 브이로그🎨🌿",89,7,8.0,80.0
12,2020/05/17 00:58:31,집에서 보내는 일상 브이로그 | 🍯꿀견과류 | 올리브오일 | 과일펀치 | 오이절임,29,1,16.0,
13,2020/05/17 00:58:52,"Eng) 영국 일상 vlog 🇬🇧 종강을 향하여 달려가다 자빠지는 브이로그, 치즈닭갈비, 양배추쌈, 두부강정, 감자옹심이",195,4,15.0,350.0
14,2020/05/17 00:59:14,VLOG | 임고생 브이로그 | 유아임용 | 임용고시 | study vlog (ft. 스터디카페),120,1,5.0,
15,2020/05/17 00:59:34,"[일상] 강한 남자 프로젝트. (격투왕 미룡) 일상, 먹방, 브이로그",12,3,4.0,26.0
16,2020/05/17 00:59:53,Vlog) 에밀링의 브이로그 | 까페 창업준비 도전기 반셀프 인테리어 (6편),31,1,9.0,
17,2020/05/17 01:00:13,"[vlog][먹방브이로그] 일주일만에 4kg 찐 먹부림 일상(간짜장, 양장피, 까르보불닭떡볶이, 아나고, 뼈찜, 대구 룰리커피, 회)",27,4,6.0,
18,2020/05/17 01:00:36,여중생 브이로그,30,4,,479.0
19,2020/05/17 01:00:55,"[육아브이로그] 아기 재우는 방법! 미군와이프의 수면교육, 수면유도, 수면의식, 독일 코로나 마스크 언박싱, 독일 일상 브이로그, 주부 브이로그, 양념치킨 만들기, 20개월 아기",32,4,2.0,
