,View,Coment,Like,Subscriber
1,16546,225.0,873.0,50000.0
3,31050,185.0,966.0,50000.0
4,912,38.0,112.0,150000.0
5,15547,139.0,799.0,40000.0
6,3081,14.0,88.0,1000.0
7,3927,214.0,553.0,50000.0
8,6762,119.0,229.0,7000.0
9,4256,58.0,190.0,4000.0
11,49,2.0,3.0,38.0
12,726,31.0,41.0,1000.0
13,3076,20.0,131.0,30000.0
14,242,9.0,19.0,2000.0
15,1700,27.0,165.0,140000.0
16,929,17.0,46.0,3000.0
18,449,29.0,34.0,3000.0
19,415,10.0,19.0,3000.0
20,112,8.0,8.0,2000.0
21,4374,49.0,245.0,30000.0
22,11621,232.0,871.0,150000.0
23,1163,48.0,51.0,2000.0
24,208,8.0,4.0,66.0
25,1039,45.0,71.0,10000.0
26,383,6.0,18.0,2000.0
27,500,15.0,6.0,328.0
28,3247,119.0,198.0,7000.0
29,232,22.0,25.0,271.0
30,10507,120.0,419.0,20000.0
34,828,83.0,135.0,6000.0
35,8454,157.0,436.0,10000.0
36,583,22.0,37.0,1000.0
37,2948,24.0,105.0,5000.0
38,2802,70.0,54.0,972.0
39,192,5.0,31.0,346.0
41,885,9.0,65.0,4000.0
42,2134,70.0,86.0,10000.0
43,830,24.0,35.0,771.0
45,1518,11.0,52.0,20000.0
46,127,5.0,11.0,1000.0
47,7967,242.0,865.0,130000.0
48,393,15.0,23.0,1000.0
49,3700,52.0,211.0,4000.0
50,410,6.0,41.0,3000.0
51,198,30.0,21.0,1000.0
52,252,6.0,9.0,10000.0
53,1175,1.0,58.0,20000.0
54,242,4.0,17.0,492.0
55,1839,13.0,76.0,10000.0
56,1547,18.0,47.0,10000.0
58,487,13.0,76.0,3000.0
59,123,3.0,8.0,6000.0
60,61,2.0,5.0,72.0
62,185,8.0,18.0,6000.0
63,553,8.0,29.0,1000.0
64,269,40.0,49.0,40000.0
65,401,20.0,11.0,271.0
66,109,2.0,10.0,798.0
67,148,5.0,6.0,700.0
68,22250,138.0,723.0,390000.0
69,47,7.0,8.0,93.0
70,456,7.0,25.0,10000.0
71,400,9.0,27.0,406.0
73,701,6.0,44.0,20000.0
75,99,4.0,11.0,1000.0
76,29,3.0,4.0,1000.0
77,138,8.0,6.0,744.0
78,3401,22.0,87.0,9000.0
79,5245,238.0,665.0,120000.0
80,837,16.0,39.0,2000.0
81,16,0.0,2.0,177.0
82,64,3.0,4.0,249.0
83,30,4.0,7.0,1000.0
85,75,20.0,16.0,2000.0
88,148,27.0,14.0,446.0
90,1218,43.0,230.0,10000.0
91,174,60.0,30.0,568.0
97,117,2.0,19.0,1000.0
98,1960,23.0,50.0,10000.0
99,1393,97.0,235.0,7000.0
100,7337,88.0,322.0,20000.0
101,65,2.0,5.0,2000.0
103,40,5.0,11.0,2000.0
104,166,24.0,17.0,775.0
105,81,4.0,12.0,3000.0
106,3217,47.0,231.0,2000.0
107,36,11.0,14.0,652.0
108,57,22.0,10.0,241.0
109,54,6.0,7.0,91.0
110,40,3.0,6.0,143.0
111,220,9.0,35.0,10000.0
112,190,0.0,3.0,327.0
113,35,2.0,8.0,168.0
114,74,1.0,4.0,380.0
117,64,0.0,21.0,97.0
118,137,20.0,9.0,105.0
119,15,0.0,2.0,22.0
120,183,44.0,24.0,802.0
121,395957,1696.0,10000.0,2840000.0
122,19,1.0,3.0,260.0
123,85,5.0,18.0,1000.0
125,83,12.0,7.0,192.0
127,26,0.0,3.0,24.0
128,331,20.0,56.0,534.0
129,78,7.0,5.0,44.0
130,793,38.0,44.0,963.0
131,205,20.0,23.0,1000.0
133,57,5.0,4.0,123.0
134,94,2.0,7.0,342.0
135,10,2.0,3.0,15.0
136,83,2.0,2.0,36.0
137,46,4.0,11.0,51.0
139,277,8.0,16.0,1000.0
140,64,7.0,6.0,411.0
141,43,8.0,4.0,153.0
143,81,1.0,6.0,97.0
144,53,6.0,16.0,377.0
145,36,10.0,8.0,87.0
146,21,0.0,8.0,39.0
148,61,4.0,11.0,117.0
150,38,7.0,5.0,341.0
152,37,2.0,11.0,70.0
153,71,8.0,10.0,36.0
154,593,25.0,36.0,122.0
155,90,21.0,25.0,188.0
156,53,2.0,3.0,99.0
158,20,3.0,5.0,113.0
159,97,6.0,13.0,118.0
161,139,7.0,10.0,190.0
162,246,25.0,19.0,1000.0
163,68,4.0,8.0,57.0
165,37,6.0,4.0,12.0
166,127,2.0,9.0,148.0
167,781,15.0,37.0,972.0
169,101,2.0,6.0,1000.0
170,419,25.0,23.0,956.0
172,145,0.0,7.0,134.0
173,158,9.0,11.0,295.0
175,28,8.0,9.0,132.0
176,527,9.0,23.0,204.0
177,30,4.0,9.0,158.0
178,75,8.0,5.0,154.0
179,124,11.0,6.0,62.0
181,98,3.0,12.0,220.0
182,23,2.0,4.0,53.0
183,1236,14.0,35.0,395.0
185,198,4.0,9.0,48.0
187,137,7.0,16.0,1000.0
188,313,5.0,24.0,787.0
189,92,18.0,18.0,925.0
191,71,5.0,6.0,239.0
192,77,3.0,6.0,60.0
194,79,8.0,14.0,55.0
195,15,0.0,4.0,5.0
196,126,29.0,13.0,56.0
198,96,20.0,14.0,176.0
199,87226,566.0,1000.0,190000.0
201,399,30.0,19.0,491.0
203,25,1.0,4.0,20.0
204,29,0.0,8.0,271.0
205,33,3.0,1.0,201.0
206,71,10.0,11.0,224.0
207,426,0.0,7.0,22.0
208,31,2.0,5.0,76.0
209,44,11.0,5.0,55.0
210,29,1.0,4.0,75.0
211,16,1.0,4.0,16.0
212,419,13.0,22.0,1000.0
213,33,5.0,7.0,55.0
214,33,1.0,5.0,102.0
215,75,1.0,6.0,657.0
216,126,16.0,11.0,186.0
217,5710,17.0,153.0,1000.0
218,32,2.0,3.0,253.0
219,215,11.0,16.0,18.0
222,3080,108.0,437.0,60000.0
223,8388,308.0,938.0,60000.0
224,4808,128.0,590.0,150000.0
225,50393,461.0,1000.0,90000.0
226,55004,439.0,2000.0,120000.0
227,2070,81.0,225.0,8000.0
228,15433,112.0,677.0,460000.0
229,122,11.0,17.0,650.0
230,15343,192.0,444.0,10000.0
231,15715,402.0,2000.0,80000.0
232,1368,176.0,152.0,10000.0
233,14297,258.0,1000.0,60000.0
234,558,40.0,62.0,2000.0
236,809,15.0,40.0,3000.0
237,273,28.0,28.0,3000.0
238,8218,568.0,1000.0,10000.0
239,99,5.0,13.0,425.0
241,357,7.0,42.0,1000.0
242,243,4.0,14.0,232.0
243,54722,421.0,1000.0,520000.0
244,605,18.0,34.0,5000.0
246,4556,46.0,178.0,8000.0
248,3701,5.0,66.0,10000.0
249,249,24.0,14.0,1000.0
251,153419,530.0,4000.0,210000.0
252,504,27.0,55.0,2000.0
253,558,30.0,62.0,4000.0
254,1237,18.0,98.0,50000.0
255,830,22.0,80.0,30000.0
256,173,20.0,29.0,140.0
257,138,7.0,11.0,893.0
258,616,25.0,77.0,30000.0
259,7774,45.0,406.0,30000.0
260,360,17.0,104.0,60000.0
265,133,3.0,8.0,348.0
266,64,1.0,15.0,1000.0
267,523,14.0,15.0,780.0
268,872,35.0,20.0,3000.0
270,1722,51.0,101.0,10000.0
271,128,23.0,23.0,725.0
272,3797,23.0,104.0,10000.0
273,783,31.0,80.0,10000.0
274,418,24.0,46.0,10000.0
275,186,10.0,10.0,2000.0
276,144,4.0,17.0,358.0
277,127,3.0,27.0,1000.0
278,134,9.0,10.0,190.0
282,952,20.0,89.0,20000.0
283,221,3.0,20.0,421.0
285,467,14.0,26.0,282.0
286,208,26.0,51.0,1000.0
287,360,5.0,47.0,60000.0
288,2736,291.0,296.0,70000.0
291,84,5.0,4.0,65.0
292,1351,41.0,142.0,50000.0
293,69,15.0,14.0,1000.0
294,255,4.0,17.0,799.0
295,248,55.0,22.0,1000.0
297,117,1.0,8.0,139.0
298,33,3.0,5.0,22.0
299,41,11.0,6.0,444.0
301,201,3.0,11.0,135.0
302,98,25.0,28.0,337.0
303,57,3.0,5.0,73.0
304,114,19.0,18.0,239.0
305,21072,93.0,738.0,60000.0
306,31,2.0,1.0,22.0
307,135,7.0,15.0,270.0
308,499,8.0,33.0,1000.0
310,21,4.0,4.0,128.0
311,141,7.0,16.0,125.0
312,58,2.0,6.0,268.0
314,300,9.0,10.0,89.0
315,45,5.0,14.0,261.0
316,78,6.0,12.0,64.0
317,31,5.0,5.0,168.0
321,115,9.0,10.0,232.0
323,116,5.0,7.0,2000.0
324,18,0.0,5.0,21.0
325,20,1.0,6.0,26.0
328,72,3.0,9.0,969.0
329,61,21.0,10.0,61.0
330,118,7.0,15.0,141.0
331,42669,351.0,1000.0,40000.0
332,35,2.0,6.0,32.0
334,107,12.0,19.0,165.0
335,47,7.0,7.0,523.0
336,9,4.0,1.0,66.0
337,28,0.0,3.0,25.0
338,41,7.0,11.0,25.0
340,21,3.0,1.0,25.0
341,52,6.0,3.0,30.0
342,5619,87.0,702.0,20000.0
343,42,2.0,7.0,34.0
344,137,0.0,10.0,36.0
346,1830,32.0,114.0,30000.0
347,592,38.0,118.0,7000.0
348,191,29.0,29.0,1000.0
349,82,12.0,10.0,25.0
350,29,4.0,7.0,62.0
351,24,3.0,6.0,37.0
352,26416,149.0,849.0,10000.0
353,33,7.0,5.0,57.0
354,29,4.0,1.0,12.0
355,14,0.0,5.0,14.0
356,5069,98.0,1000.0,30000.0
357,89,3.0,6.0,1000.0
359,24,0.0,3.0,162.0
360,53,4.0,7.0,17.0
361,13,4.0,3.0,11.0
362,137,0.0,6.0,330.0
363,55,5.0,10.0,70.0
364,87,0.0,4.0,2000.0
365,226,24.0,35.0,564.0
366,390,26.0,22.0,1000.0
367,68,8.0,7.0,71.0
369,108,13.0,12.0,63.0
370,113,4.0,5.0,1000.0
371,29,2.0,2.0,40.0
373,35,0.0,3.0,1000.0
374,22,1.0,4.0,21.0
375,57,8.0,10.0,47.0
376,255,30.0,15.0,145.0
377,131,4.0,8.0,2000.0
378,177,4.0,8.0,33.0
379,26,2.0,8.0,54.0
380,137,14.0,20.0,61.0
381,5,0.0,1.0,27.0
383,63,5.0,12.0,6000.0
384,644,15.0,28.0,1000.0
386,93,10.0,23.0,8000.0
390,163,3.0,6.0,664.0
392,70,8.0,5.0,14.0
393,40,1.0,10.0,47.0
395,41,0.0,4.0,15.0
398,21,2.0,3.0,24.0
401,39,2.0,4.0,22.0
403,52,7.0,2.0,30.0
404,29,2.0,7.0,19.0
405,61,1.0,5.0,36.0
406,32,0.0,0.0,131.0
415,58,15.0,12.0,1000.0
417,157,1.0,4.0,330.0
418,104,46.0,41.0,1000.0
419,52,0.0,1.0,254.0
420,35,3.0,6.0,30.0
424,6370,99.0,635.0,60000.0
429,8741,347.0,1000.0,20000.0
430,11149,94.0,486.0,10000.0
431,20438,171.0,895.0,690000.0
433,176,11.0,12.0,617.0
434,212,12.0,11.0,226.0
435,594,15.0,65.0,10000.0
436,58,2.0,8.0,672.0
438,21573,97.0,436.0,50000.0
439,39537,203.0,1000.0,50000.0
440,2514,62.0,255.0,20000.0
441,41715,145.0,1000.0,420000.0
448,3000,74.0,136.0,3000.0
452,4026,65.0,163.0,30000.0
454,1308,36.0,72.0,2000.0
455,10883,45.0,269.0,50000.0
456,161,5.0,10.0,1000.0
457,108,4.0,20.0,2000.0
458,1648,46.0,206.0,40000.0
459,1378,19.0,79.0,2000.0
460,498,12.0,38.0,10000.0
464,935,43.0,113.0,6000.0
468,114,5.0,15.0,98.0
472,5529,30.0,284.0,2000.0
473,1197,0.0,9.0,1000.0
474,233,11.0,16.0,337.0
475,59,3.0,9.0,981.0
476,14034,59.0,704.0,10000.0
478,1163,18.0,59.0,1000.0
479,388,13.0,15.0,2000.0
480,822,29.0,33.0,3000.0
481,201,11.0,28.0,566.0
483,180,8.0,16.0,2000.0
484,8766,60.0,305.0,70000.0
486,12018,49.0,136.0,30000.0
488,1424,27.0,41.0,2000.0
523,90,2.0,8.0,188.0
525,267,38.0,77.0,415.0
526,64,10.0,7.0,56.0
527,38,5.0,6.0,1000.0
529,62,1.0,4.0,293.0
530,223,48.0,31.0,313.0
532,66,1.0,2.0,429.0
534,257,8.0,12.0,509.0
536,210,3.0,29.0,220.0
537,165,6.0,11.0,550.0
538,922,19.0,82.0,20000.0
540,166,31.0,14.0,227.0
542,157,8.0,10.0,173.0
546,115,10.0,9.0,236.0
547,76,13.0,19.0,107.0
548,1678,27.0,46.0,2000.0
552,96,0.0,5.0,179.0
554,157,23.0,18.0,609.0
555,42,3.0,7.0,123.0
556,1846,23.0,139.0,10000.0
558,447,20.0,37.0,1000.0
560,470,30.0,29.0,3000.0
