View,Coment,Like,Subscriber
16546,225.0,873.0,50000.0
31050,185.0,966.0,50000.0
912,38.0,112.0,150000.0
15547,139.0,799.0,40000.0
3081,14.0,88.0,1000.0
3927,214.0,553.0,50000.0
6762,119.0,229.0,7000.0
4256,58.0,190.0,4000.0
49,2.0,3.0,38.0
726,31.0,41.0,1000.0
3076,20.0,131.0,30000.0
242,9.0,19.0,2000.0
1700,27.0,165.0,140000.0
929,17.0,46.0,3000.0
449,29.0,34.0,3000.0
415,10.0,19.0,3000.0
112,8.0,8.0,2000.0
4374,49.0,245.0,30000.0
11621,232.0,871.0,150000.0
1163,48.0,51.0,2000.0
208,8.0,4.0,66.0
1039,45.0,71.0,10000.0
383,6.0,18.0,2000.0
500,15.0,6.0,328.0
3247,119.0,198.0,7000.0
232,22.0,25.0,271.0
10507,120.0,419.0,20000.0
828,83.0,135.0,6000.0
8454,157.0,436.0,10000.0
583,22.0,37.0,1000.0
2948,24.0,105.0,5000.0
2802,70.0,54.0,972.0
192,5.0,31.0,346.0
885,9.0,65.0,4000.0
2134,70.0,86.0,10000.0
830,24.0,35.0,771.0
1518,11.0,52.0,20000.0
127,5.0,11.0,1000.0
7967,242.0,865.0,130000.0
393,15.0,23.0,1000.0
3700,52.0,211.0,4000.0
410,6.0,41.0,3000.0
198,30.0,21.0,1000.0
252,6.0,9.0,10000.0
1175,1.0,58.0,20000.0
242,4.0,17.0,492.0
1839,13.0,76.0,10000.0
1547,18.0,47.0,10000.0
487,13.0,76.0,3000.0
123,3.0,8.0,6000.0
61,2.0,5.0,72.0
185,8.0,18.0,6000.0
553,8.0,29.0,1000.0
269,40.0,49.0,40000.0
401,20.0,11.0,271.0
109,2.0,10.0,798.0
148,5.0,6.0,700.0
22250,138.0,723.0,390000.0
47,7.0,8.0,93.0
456,7.0,25.0,10000.0
400,9.0,27.0,406.0
701,6.0,44.0,20000.0
99,4.0,11.0,1000.0
29,3.0,4.0,1000.0
138,8.0,6.0,744.0
3401,22.0,87.0,9000.0
5245,238.0,665.0,120000.0
837,16.0,39.0,2000.0
16,0.0,2.0,177.0
64,3.0,4.0,249.0
30,4.0,7.0,1000.0
75,20.0,16.0,2000.0
148,27.0,14.0,446.0
1218,43.0,230.0,10000.0
174,60.0,30.0,568.0
117,2.0,19.0,1000.0
1960,23.0,50.0,10000.0
1393,97.0,235.0,7000.0
7337,88.0,322.0,20000.0
65,2.0,5.0,2000.0
40,5.0,11.0,2000.0
166,24.0,17.0,775.0
81,4.0,12.0,3000.0
3217,47.0,231.0,2000.0
36,11.0,14.0,652.0
57,22.0,10.0,241.0
54,6.0,7.0,91.0
40,3.0,6.0,143.0
220,9.0,35.0,10000.0
190,0.0,3.0,327.0
35,2.0,8.0,168.0
74,1.0,4.0,380.0
64,0.0,21.0,97.0
137,20.0,9.0,105.0
15,0.0,2.0,22.0
183,44.0,24.0,802.0
395957,1696.0,10000.0,2840000.0
19,1.0,3.0,260.0
85,5.0,18.0,1000.0
83,12.0,7.0,192.0
26,0.0,3.0,24.0
331,20.0,56.0,534.0
78,7.0,5.0,44.0
793,38.0,44.0,963.0
205,20.0,23.0,1000.0
57,5.0,4.0,123.0
94,2.0,7.0,342.0
10,2.0,3.0,15.0
83,2.0,2.0,36.0
46,4.0,11.0,51.0
277,8.0,16.0,1000.0
64,7.0,6.0,411.0
43,8.0,4.0,153.0
81,1.0,6.0,97.0
53,6.0,16.0,377.0
36,10.0,8.0,87.0
21,0.0,8.0,39.0
61,4.0,11.0,117.0
38,7.0,5.0,341.0
37,2.0,11.0,70.0
71,8.0,10.0,36.0
593,25.0,36.0,122.0
90,21.0,25.0,188.0
53,2.0,3.0,99.0
20,3.0,5.0,113.0
97,6.0,13.0,118.0
139,7.0,10.0,190.0
246,25.0,19.0,1000.0
68,4.0,8.0,57.0
37,6.0,4.0,12.0
127,2.0,9.0,148.0
781,15.0,37.0,972.0
101,2.0,6.0,1000.0
419,25.0,23.0,956.0
145,0.0,7.0,134.0
158,9.0,11.0,295.0
28,8.0,9.0,132.0
527,9.0,23.0,204.0
30,4.0,9.0,158.0
75,8.0,5.0,154.0
124,11.0,6.0,62.0
98,3.0,12.0,220.0
23,2.0,4.0,53.0
1236,14.0,35.0,395.0
198,4.0,9.0,48.0
137,7.0,16.0,1000.0
313,5.0,24.0,787.0
92,18.0,18.0,925.0
71,5.0,6.0,239.0
77,3.0,6.0,60.0
79,8.0,14.0,55.0
15,0.0,4.0,5.0
126,29.0,13.0,56.0
96,20.0,14.0,176.0
