,Now,Title,View,Coment,Like,Subscriber
0,2020/04/22 02:19:29,Eng)cafe vlog|카페알바 브이로그|카페알바|브이로그|카페브이로그|vlog|알바 브이로그|카페 브이로그|asmr|cafe|koreancafe|잠잘오는|힐링,5580,145.0,551.0,40000.0
1,2020/04/22 02:19:42,,6389,82.0,581.0,30000.0
2,2020/04/22 02:19:56,"브이로그｜개나소나 동거하네ㅡㅡ 에서 개를 맡고 있는 중.. 소 모집 중.. (마라부대찌개, 바질키우기, 가시없는 갈치조림!, 장조림만들기)",12244,155.0,813.0,50000.0
3,2020/04/22 02:20:09,"[vlog#55] 24살 엄마의 형제 육아 브이로그 (짬뽕먹고,잔치국수 만들고, 아기 이발)",5280,97.0,525.0,40000.0
4,2020/04/22 02:20:21,나예의 온라인개학 첫 수업🏫 24시간 브이로그❤ 중학생 교복 입고 수업듣기? / 공부방법👩‍💻 / 신학기준비물 / GRWM NAYE VLOG｜클레버TV,46577,353.0,1000.0,520000.0
5,2020/04/22 02:20:34,"직장인 브이로그 | 치과 상담실장 진급 후 일주일, 치과위생사 브이로그, 치위생사 VLOG 일상",3577,76.0,191.0,7000.0
6,2020/04/22 02:20:44,"먹방 브이로그(입맛 없어 간신히 한숟갈 떠보는 쳐묵러, 오리주물럭, 쌈두부, 육회비빔밥, 쭈꾸미볶음, 안동찜닭)",472,11.0,55.0,5000.0
7,2020/04/22 02:21:01,"먹방계의 아메바...집밥 먹방 일상 브이로그(부대찌개, 김치만둣국, 비빔밥, 고로케, 매운어묵, 베이글 소세지 치즈샌드위치,삼겹살,양념돼지갈비, 고기뷔페 MUCKBANG VLOG",6049,88.0,,10000.0
8,2020/04/22 02:21:16,[중3 브이로그]아무 생각없는 집순이의 하루🏡,563,30.0,37.0,1000.0
9,2020/04/22 02:21:27,"일상 브이로그에 감성 한방울🍨 +ㅣ출근 브이로그 , 쇼핑몰 촬영 , 홍대 데이트 브이로그 , 주말 감성 브이로그 , 은비데이 , vlog",1104,21.0,43.0,10000.0
10,2020/04/22 02:21:39,브이로그[VLOG] : 감성사냥을 나간다!! 🔫 (망원동/혼밥/커피가게 동경/출근룩/어글리 베이커리/영어공부📝/압구정/대막/타르틴),2027,103.0,172.0,7000.0
11,2020/04/22 02:21:51,집콕 Vlog | 48시간 밀착 브이로그,110,13.0,10.0,7000.0
12,2020/04/22 02:22:04,,94,5.0,,634.0
13,2020/04/22 02:22:15,[브이로그 VLOG] 비 오는날 뭐하는게 좋을까요?,670,21.0,66.0,10000.0
14,2020/04/22 02:22:27,[V-log]정몰 택배기사 정글에 가다!🌴🌵 (광고 촬영 브이로그),10581,109.0,580.0,390000.0
15,2020/04/22 02:22:39,"이 시국, 회사 집만 왔다갔다하는 도쿄 브이로그 ~ 화요일편",323,22.0,33.0,3000.0
16,2020/04/22 02:22:50,ENG)VLOG#23 브이로그 | 주말폭식 | 먹고운동하고 | 직장인다이어트 | 운동재개💪 | 크리스피크림 쿠키플렉스,380,8.0,38.0,1000.0
17,2020/04/22 02:23:02,"[뽀너스 영상] 까니짱의 먹방 vlog | 평범한 일상 먹방 브이로그 (불타는 고추짜장 🌶, 소고기, 길거리 토스트, 참외, 달래 된장찌개)",116754,1263.0,10000.0,2840000.0
18,2020/04/22 02:23:13,재택근무 직장인 주말브이로그 | 뉴욕코로나상황 | Ana Luisa | 샹그리아만들기 | 먹방 | 집콕 주말브이로그,395,6.0,21.0,1000.0
19,2020/04/22 02:23:24,[VLOG]대학생브이로그|무용과일하는하루|피팅모델|네일관리받기|다이어트,324,7.0,17.0,3000.0
20,2020/04/22 02:23:35,[COUPLE VLOG] #8 알콩달콩 커플의 1주년 브이로그💗🤍 | 1주년 데이트 | 커플문답 | 1주년 기념일 | 커플vlog 💓,90,6.0,1.0,320.0
21,2020/04/22 02:23:54,미국 코로나 브이로그 / 뉴욕 한인마트 오픈 1시간 전 줄 서기는 기본⁉️ / 뉴욕 브이로그 / 코로나 브이로그,1077,14.0,63.0,1000.0
22,2020/04/22 02:24:09,버스로 역주행!! 입국자 이송버스기사의 하루 (브이로그),720,17.0,89.0,60000.0
23,2020/04/22 02:24:20,고1 온라인 개학 브이로그 vlog 🏫 To.미래 손녀 “ 라떼는 말이야 ... 온라인 개학도 했었다 이말이야 ... “ / 가은Gaeun,6048,198.0,666.0,150000.0
24,2020/04/22 02:24:32,"🇺🇸뉴욕유학생 귀국 브이로그 | 급하게 집계약 파기하고 한국 돌아갑니다…/ 7일간의 귀국준비 | 코로나 공항패션, 짐보관 이사하기, 유학생 VLOG",817,42.0,46.0,2000.0
25,2020/04/22 02:24:45,[채쌤의일상/vlog8] 초등교사 브이로그ㅣwith 웃음반 1기 2기 3기ㅣKorea homeroom teacher life,2088,42.0,205.0,30000.0
26,2020/04/22 02:24:57,"[제주 브이로그 VLOG] 힐링여행 제주도 2박3일 여행 1일차🍊 겨울 겸 봄 제주도 핫플레이스/맛집/카페 | 부자식당,양떼목장,협재해수욕장,신창풍차해안도로,카페쉼표,동문재래시장",68,8.0,5.0,2000.0
27,2020/04/22 02:25:11,,430,60.0,120.0,
28,2020/04/22 02:25:22,Vlog | 임고생 브이로그. 해피 카공☕️. 아날로그키퍼 언박싱. 주말엔 백수라잎 즐기기. 공부 타임랩스. 유아임용,599,22.0,27.0,768.0
29,2020/04/22 02:25:43,"[VLOG] 3박4일 제주도 여행 브이로그 마지막 🍊 정방폭포, 베케, 해안도로 드라이브, 섭지코지, 유채꽃, 안돌오름, BTS카페 공백, 우진해장국",256,19.0,15.0,490.0
30,2020/04/22 02:25:56,[cafe vlog] 카페브이로그 / 카페알바 / 더벤티알바 / 알바브이로그 / 오픈알바,169,1.0,13.0,602.0
31,2020/04/22 02:26:09,Eng)주부의 집밥 일상 브이로그-평범한 일상의 소중함,4993,77.0,283.0,20000.0
32,2020/04/22 02:26:21,아침식사만 모아놓은 먹방 브이로그ㅣMUKBANG VLOGㅣ차차 베이커리,192,8.0,10.0,
33,2020/04/22 02:26:31,"🇰🇷한영국제커플 동거 브이로그🇬🇧 올해 첫 가든 바베큐, 계속되는 락다운, 잔잔한 주말",5633,119.0,388.0,10000.0
34,2020/04/22 02:26:42,/VLOG/ 차박 재도전 준비 브이로그 | 분식데이 | 캠핑 창고 정리 | 장박 뒷정리 | 사이폰 커피,903,16.0,,
35,2020/04/22 02:26:54,[eng] 날이 좋아서.. 바쁜 카페브이로그/ 더벤티알바/ 자몽음료/ 딸기음료/ 음료제조영상/ 얼음ASMR/ cafevlog,2527,41.0,136.0,
36,2020/04/22 02:27:05,[임고생 브이로그📝] - 고독한 독서실 1인실🥺 | 돌체라떼 만들기☕️ | bhc 커리퀸🍗 | 고양이 박스대첩📦 (Study Vlog),269,12.0,8.0,266.0
37,2020/04/22 02:27:15,호주일상⎜부부의세계 라이브로 해부럿당께요 [브이로그],368,15.0,46.0,10000.0
38,2020/04/22 02:27:28,임고생 브이로그 | study vlog | 잔잔한 독서실 브이로그 | 반짝이는 별 가져오기⭐️ | 아이패드로 공부하기,161,5.0,14.0,1000.0
39,2020/04/22 02:27:40,편식하는개린이ㅣ육멍브이로그ㅣ땡큐의여름일상,976,40.0,216.0,10000.0
