,Now,Title,View,Coment,Like,Subscriber
1,2020-04-29 22:39,1분차이 쌍둥이언니랑 라면 4봉 + 라죽 먹방?? 보자마자 라면을 끓이게 되는 마법ㅋㅋ!!! MUKBANG,65326,519,4000,1510000
2,2020-04-29 22:39,"먹방 브이로그 (ft.처갓집 슈프림 양념치킨, 청년다방 차돌떡볶이X버터갈릭감자튀김, 매콤크림닭갈비, 에그드랍, 김밥, 미트볼 크림파스타, 파게트, 라면 ) Mukbang VLOG",10309,96,651,70000
3,2020-04-29 22:40,간단하게 고기 한덩이 먹방. 직접 정육까지? 가성비 코스트코 본갈비살 Korean mukbang eating show,30380,400,2000,2310000
4,2020-04-29 22:40,SUB)굽네치킨 고추바사삭 순살에 시카고피자 볼케이노치즈치밥 먹방 ????(ft.바게트볼) chicken pizza mukbang ASMR,1586410,3222,50000,3220000
5,2020-04-29 22:41,먹방창배tv 칼집넣은 통삼겹살김치찌개 정말정말 존맛 쌈빡하게 먹방 Spicy  Pork Kimchi Stew mukbang Legend koreanfood asmr,3000,24,282,310000
6,2020-04-29 22:41,"먹방 브이로그 : 응급실떡볶이, 맥도날드 신상 허니크림치즈 상하이버거, 베스킨라빈스, 스타벅스 카스테라 코코넛화이트콜드브루 MUKBANG VLOG",1428,55,203,20000
7,2020-04-29 22:42,"[치킨의날??] 먹방 브이로그(ft.극장판치킨,개매운치킨,크리미어니언치킨,눈맞은치킨,호로록떡볶이,까르보떡볶이,황금치즈볼,과자먹방-씨유달고나마카롱,딸기꼬깔콘) | 쌍둥이 먹방",3488,109,219,20000
8,2020-04-29 22:42,"[먹방 브이로그]중간고사 D-7일남은 대학생vlog(ft.엽떡,라면,대만샌드위치,구독자님이 주신 택배 언박싱, 쫀득쫀득 브라우니,파운드케이크,아이스크림,삼겹살,김밥,비빔면)",4191,54,197,7000
9,2020-04-29 22:43,요리하는 도중에 단속이 떴다? [솥뚜껑 닭강정 쿡방&먹방],62619,772,4000,280000
10,2020-04-29 22:43,이삭 신메뉴 불닭토스트 딥치즈베이컨토스트 리얼사운드 먹방 | Fire Chicken & Deep Cheese Bacon Toast EATING SHOW | ASMR MUKBANG,30192,561,2000,1590000
11,2020-04-29 22:44,13만명 기념 오설록 녹차치즈케이크 녹차브라우니 케이크 먹방 Dessert Mukbang,7098,136,993,130000
12,2020-04-29 22:44,움트 생크림케이크에 떨어진 누텔라 메이플시럽폭포 먹방~!! Whipped Cream Cake?? With Nutella Maple Syrup Falls MuKBang~!!,17264,208,2000,550000
13,2020-04-29 22:44,짜장면 곱빼기 탕수육 먹방 MUKBANG,10480,87,996,2790000
14,2020-04-29 22:45,불닭비빔면 + 삼겹살 먹방 별로 안매운데?,2212,50,315,240000
15,2020-04-29 22:45,"ASMR MINT CHOCOLATE CAKE 민트 디저트먹방 FROZEN JELLY  GOLD POP DESSERT, MACARON, CANDY MILK EATING MUKBANG",49714,637,6000,3280000
16,2020-04-29 22:46,"ASMR SHEET JELLY, TANGHULU, TIKTOK FRUIT JELLY, ANGEL CANDY 먹방 *ORANGE COLOR* EATING SOUNDS MUKBANG",7216,141,876,370000
17,2020-04-29 22:46,리얼먹방)ASMR MUKBANG 전날 과음하고 해장으로 매운 열라면4봉지?? 계란4개 풀어서 리얼사운드 먹방 Korean Spicy Ramen egg EATING SOUND!!,1928,60,234,230000
18,2020-04-29 22:47,ASMR 배스킨라빈스31 엄마는 외계인 케이크 디저트 먹방 CHOCOLATE ?? ICE CREAM CAKE DESSERT MUKBANG EATING SOUNDS アイスクリ?ムケ?,8416,123,1000,140000
19,2020-04-29 22:47,뽀득뽀득소세지 먹방 MUKBANG,97264,195,3000,2790000
20,2020-04-29 22:48,초콜릿 디저트 먹방ASMR MUKBANG CHOCOLATE ICE CREAM & CHOCOLATE DESSERT チョコレ?ト デザ?ト S? c? la eating sounds,29556,537,3000,890000
21,2020-04-29 22:48,오늘 잡은 신선한 한우 등심 구이와 잘 익은 김치 한 쌈! (Grilled Korean beef sirloin) 요리&먹방!! - Mukbang eating show,59892,499,4000,1250000
22,2020-04-29 22:49,"햇님표 잡채밥에 소불고기, 소고기뭇국 먹방! 20200428",81918,139,1000,980000
23,2020-04-29 22:49,매운 볼케이노 치킨과 달콤한 허니멜로피자 먹방 Spicy Chicken and Sweet Potato Pizza Koreanfood Mukbang Eating sound,61946,162,2000,240000
24,2020-04-29 22:50,"함박 토마토 스파게티 , 통 오이소박이 요리먹방 입니다. MUKBANG",16869,74,588,470000
25,2020-04-29 22:50,쟤네 또 싸운다.. 치킨 빨리 오면 먹방함,79,,,20000
26,2020-04-29 22:50,도넛 특집 먹방브이로그??CU 신상도 먹었다요 후후??,3909,61,207,20000
27,2020-04-29 22:51,틱톡 과일 젤리 챌린지 먹방 Tiktok Jelly Fruit Candy Challenge Mukbang,5569,76,236,150000
28,2020-04-29 22:51,해장으로 뜨거운 곰탕 곰탕죽 매운김치 깍두기 청양고추 먹방 korean mukbang eating show,560,16,69,10000
29,2020-04-29 22:52,매콤한 닭볶음탕 먹방mukbang,9861,132,832,120000
30,2020-04-29 22:52,역대급 먹방 도전하고 왔습니다,664,7,6,
31,2020-04-29 22:53,인도카레 ????치킨카레 시금치카레 허니난 코코넛쉬림프 먹방/INDIAN FOOD FEAST CHICKEN CURRY SPINACH CURRY COCONUT SHRIMP MUKBANG,15759,346,1000,2060000
32,2020-04-29 22:53,"남헌형님, 윤일빠 벙커 먹방",181,,,4000
33,2020-04-29 22:54,삼겹살 크림김치볶음밥 먹방! 계란말이 집밥 / PORK BELLY CREAM KIMCHI FRIED RICE Eating Sounds MUKBANG,3361,59,269,10000
34,2020-04-29 22:54,"먹사부들의 진정한 먹방, 미우새판 맛녀석들♥ [예능맛집X곱빼기/미운우리새끼]",9905,19,179,1600000
35,2020-04-29 22:55,와차밥 낙곱새전골(ft.당면) 김말이튀김 리얼사운드먹방 요리 SPICY SEAFOOD HOT POT MUKBANG ASMR REAL SOUND EATING SHOW COOKING,4769,45,421,50000
36,2020-04-29 22:55,"5개 메뉴 한번에 격파 도전먹방! 20분 안에 다 먹으면 공짜! 늘봄식당 기부 챌린지! 실패해도 기부가 된다고!? (Feat. 육칼, 돈까스, 만둣국)",306,18,32,2000
37,2020-04-29 22:56,#12 여대생 기숙사 먹방 브이로그 /집밥/마카롱/치즈 불닭볶음면/돈가스/땅콩 호두 과자/편의점/단호박 크림치즈 호빵/세계 과자/딸기 찹쌀떡/쿠키 티라미수/티라미슈 떡?·?·?,117,6,5,140
38,2020-04-29 22:56,누가 치킨 먹는데 칼로리를 신경 쓰나요?~ 빨간뚜껑 먹방 chicken corn cheese Eating show Mukbang,785,18,98,30000
39,2020-04-29 22:56,세상에서 제일좋하는 소세지 소시지이이잉 여수갓김치 먹방,23201,46,745,540000
40,2020-04-29 22:57,한국에서 감금당해서 강제로 먹방을 하는 여자 먹방 유튜버가 있다 ???,51722,1402,2000,470000
41,2020-04-29 22:57,생쥐가 바퀴벌레 먹방하는 매우 건전한 영상,1240,72,123,
42,2020-04-29 22:58,자취방 탈출한 대학생 먹방 브이로그 // 피자나라 치킨공주 // 갈비 무한리필 // 볼륨매직 한 날 //귀여운 강아지들// 집에서 음식 가져와서 자취방에서 먹기,684,40,76,50000
43,2020-04-29 22:58,"1일 먹방 | 우리집 방구석 편의점에서 신제품 앵그리짜파구리 먹방!(Ft. 스팸김치볶음밥), 등촌샤브샤브 만들어먹기",496788,1164,20000,2870000
44,2020-04-29 22:59,ASMR MUKBANG| 편의점 직접 만든 핵불닭 떡볶이 양념치킨 김밥 먹방 & 레시피 FRIED CHICKEN AND Tteokbokki EATING,503929,1107,10000,1810000
45,2020-04-29 22:59,ASMR JELLY ??RAINBOW FOOD?? MUKBANG 무지개 음식 먹방 EATING SOUNDS/J.ASMR/,2060,,18,130000
46,2020-04-29 23:00,*재업로드* [먹방브이로그] 다이어트와 먹방의 적절한 페어링 (문어삼함 두부유뷰초밥 에그드랍 고구마통통 라벨앙젤르로제 목살스테이크 송이불닭발 현미김치볶음밥 노브랜드윙 참치비빔밥),192,5,16,1000
47,2020-04-29 23:00,실시간 먹방 송주불냉면 최고매운맛 비빔냉면 물냉면 왕만두 spicy noodles mukbang eatingsounds,3579,,,8000
48,2020-04-29 23:01,ASMR MUKBANG 트러플 짜파게티 & 양념 치킨먹방! TRUFFLE OIL BLACK BEAN NOODLES & FRIED CHICKEN EATING SOUND! G?,726111,1430,20000,2320000
49,2020-04-29 23:01,횟집사장이 알려드리는 오징어회써는법(feat.오징어먹방),53,6,7,421
50,2020-04-29 23:01,브레드이발소 | 브레드 먹방 모음 | 애니메이션/만화/디저트/animation/cartoon/dessert,2820,64,90,470000
51,2020-04-29 23:02,복부인 모텔에서 떡볶이 순대 유부가마 튀김 어묵국 먹방ㅡ카니발캐틀팝트콘칩,7169,1,,
52,2020-04-29 23:02,티티맘 삼각이로 삼각김밥을 만들어 보았습니다,11218,98,522,370000
